job_id,industry_sector,job_title,required_skills,minimum_experience_years,education_level,market_demand_score,location,formatted_work_type,formatted_experience_level,avg_salary,is_salary_confidential,remote_allowed
3694121579,Education & Training,Academic Instructor,"['cpr', 'education', 'safety', 'communication', 'css', 'mentoring']",1,Bachelor's,1.0,"Denison, IA",Full-time,Entry level,,1,
3694108245,Education & Training,Academic Specialist,"['education', 'teaching']",1,PhD,1.0,"Los Angeles County, CA",Part-time,Entry level,,1,1.0
3749355345,Education & Training,Academic Success Coach,"['education', 'safety', 'communication', 'r', 'excel', 'mentoring', 'analytical']",3,Bachelor's,1.0,"Los Angeles, CA",Full-time,Mid-Senior level,,1,
3693069618,Other,Accelerated Path To Management,"['leadership', 'strategy']",0,Master's,1.0,"Lubbock, TX",Full-time,,,1,
3755587560,Engineering,Accelerator Architect,"['aws', 'docker', 'ci/cd', 'terraform', 'kubernetes', 'azure', 'python', 'javascript', 'devops', 'jenkins']",5,Bachelor's,1.0,United States,Full-time,Mid-Senior level,10083.33,0,1.0
3697383170,Other,Access Associate,"['communication', 'education', 'customer service']",2,Bachelor's,2.31,"Rochester, NY",Full-time,Entry level,,1,
3697377814,Other,Access Associate,"['communication', 'education', 'customer service']",2,Bachelor's,2.31,"Rochester, NY",Full-time,Entry level,,1,
3697377816,Other,Access Associate,"['communication', 'education', 'customer service']",2,Bachelor's,2.31,"Rochester, NY",Full-time,Entry level,,1,
3697382265,Other,Access Associate,"['communication', 'education', 'customer service']",2,Bachelor's,2.31,"Rochester, NY",Full-time,Entry level,,1,
3693044217,Engineering,Access Control Estimator,"['attention to detail', 'education', 'customer service', 'operations', 'construction management', 'react', 'safety', 'communication', 'crm', 'time management', 'project management', 'leadership', 'excel', 'presentation skills']",0,Bachelor's,1.0,"Denver, CO",Full-time,,,1,
3693054029,Other,Access Control Specialist,"['attention to detail', 'communication', 'customer service', 'operations']",1,High School / Diploma,1.0,"Fort Meade, MD",Full-time,Entry level,,1,
3693590175,Business Strategy & Consulting,Access Management Consultant,"['communication', 'risk management', 'oracle']",0,Bachelor's,1.0,"Texas, United States",Contract,,,1,1.0
3701304323,Other,Access Management Specialist,"['communication', 'adaptability', 'teamwork', 'problem solving']",1,Bachelor's,1.0,"Kennett Square, PA",Contract,Associate,,1,
3697350837,Other,Access Your Future Service,"['education', 'customer service', 'teamwork', 'safety', 'communication']",4,High School / Diploma,1.0,"Hawley, MN",Part-time,,,1,
3699406899,Other,Accessibility Analyst,"['strategy', 'payroll', 'html', 'ux', 'compliance', 'communication', 'css', 'project management', 'javascript', 'excel', 'mentoring', 'machine learning']",5,Bachelor's,1.0,"Forest Home, NY",Full-time,,9558.33,0,
3693588366,Project & Product Management,Accessibility Program Manager,"['attention to detail', 'research', 'user research', 'html', 'advocacy', 'communication', 'css', 'project management']",2,Bachelor's,1.0,United States,Contract,Associate,8666.67,0,1.0
3701370875,Sales & Retail,Accessioning Clerk,"['compliance', 'education', 'safety', 'data entry']",1,High School / Diploma,1.0,"Nashville, TN",Full-time,Entry level,,1,
3757701058,Banking & Insurance,Accident Assistant Actuary,"['power bi', 'r', 'sql', 'excel']",5,Bachelor's,1.0,"New York, United States",Full-time,Mid-Senior level,,1,
3749369198,Other,Accident Reconstruction,"['attention to detail', 'education', 'construction management', 'litigation', 'dispute resolution', 'analytical']",10,Bachelor's,1.0,"Dallas, TX",Full-time,Mid-Senior level,,1,
3756114033,Other,Accommodation Specialist,"['education', 'manufacturing', 'operations', 'safety', 'compliance', 'communication', 'leadership', 'auditing']",5,Bachelor's,1.0,"Greensburg, IN",Full-time,Associate,,1,
3748834947,Other,Account,"['attention to detail', 'strategy', 'research', 'communication', 'onboarding']",5,Bachelor's,1.0,"Wilmington, DE",Full-time,Mid-Senior level,,1,
3697387274,Other,Account Administrator,"['education', 'risk management', 'advocacy', 'compliance', 'communication', 'excel', 'technical support', 'account management']",2,Master's,1.0,"Kansas City, MO",Full-time,,,1,
3699057638,Other,Account Assistant,"['attention to detail', 'strategy', 'research', 'education', 'risk management', 'operations', 'compliance', 'communication', 'technical support']",4,High School / Diploma,1.0,"Dayton, OH",Full-time,,,1,
3694103452,Other,Account Coordinator,"['research', 'advocacy', 'corporate communications', 'litigation', 'public relations', 'media relations', 'leadership', 'social media', 'mentoring']",0,Master's,2.57,"Los Angeles, CA",Full-time,,4583.33,0,
3757708070,Other,Account Coordinator,"['leadership', 'operations']",1,Bachelor's,2.57,New York City Metropolitan Area,Full-time,Entry level,4583.33,0,
3693072214,Other,Account Coordinator,"['b2b sales', 'attention to detail', 'research', 'data entry', 'education', 'operations', 'salesforce', 'communication', 'onboarding']",2,Master's,2.57,"Hawthorne, CA",Full-time,,3076.67,0,
3748840810,Other,Account Coordinator,"['communication', 'problem solving', 'excel', 'compliance']",2,Bachelor's,2.57,New York City Metropolitan Area,Full-time,Associate,5208.33,0,1.0
3757497088,Other,Account Coordinator,"['ppc', 'customer service', 'seo', 'social media', 'project management', 'graphic design', 'email marketing', 'copywriting', 'analytical']",0,Bachelor's,2.57,United States,Full-time,,,1,1.0
3693045275,Other,Account Coordinator Specialist,"['crm', 'erp', 'logistics']",1,Bachelor's,1.0,"Blue Ash, OH",Full-time,Entry level,,1,
3699428416,Transportation & Aviation,Account Delivery,"['strategy', 'risk management', 'recruitment', 'supply chain', 'procurement', 'healthcare', 'compliance', 'leadership', 'onboarding', 'problem solving', 'devops', 'talent acquisition']",0,Master's,1.0,"Redmond, WA",Full-time,,,1,
3693065919,Technology & IT,Account Developer,"['communication', 'strategy', 'education', 'compliance']",1,High School / Diploma,1.0,"Greenville, NC",Full-time,Entry level,4687.5,0,
3694106260,Other,Account Development Executive,"['adaptability', 'teamwork', 'leadership', 'communication', 'problem solving']",3,Bachelor's,1.0,"Minneapolis, MN",Full-time,,,1,
3699425953,Customer Service,Account Development Representative,"['cold calling', 'education', 'healthcare', 'communication', 'troubleshooting']",1,High School / Diploma,1.0,"Phoenix, AZ",Full-time,Entry level,,1,
3756113378,Other,Account Director,"['recruitment', 'social media', 'communication', 'mentoring', 'account management']",8,Master's,3.56,"Los Angeles, CA",Full-time,Director,,1,
3693052303,Other,Account Director,"['c', 'lead generation', 'operations', 'salesforce', 'tableau', 'crm', 'leadership']",3,Bachelor's,3.56,United States,Full-time,Mid-Senior level,,1,1.0
3749346215,Other,Account Director,"['communication', 'strategy', 'stakeholder management', 'procurement']",5,Bachelor's,3.56,San Francisco Bay Area,Full-time,Mid-Senior level,11875.0,0,1.0
3693069257,Other,Account Director,"['social media', 'research', 'leadership', 'account management']",12,Bachelor's,3.56,"Farmington Hills, MI",Full-time,Director,,1,
3755599681,Other,Account Director,"['strategy', 'education', 'customer service', 'salesforce', 'healthcare', 'leadership', 'communication', 'time management', 'powerpoint', 'problem solving', 'excel', 'account management']",5,Bachelor's,3.56,"Denver, CO",Full-time,Director,8778.75,0,
3701318648,Other,Account Director,"['recruitment', 'teamwork', 'communication', 'leadership', 'project management']",5,Bachelor's,3.56,"Philadelphia, PA",Full-time,Director,,1,1.0
3757448058,Other,Account Director,"['crm', 'strategy']",10,Bachelor's,3.56,United States,Full-time,Director,13750.0,0,1.0
3756159813,Other,Account Director,"['strategy', 'education', 'c', 'salesforce', 'healthcare']",8,Bachelor's,3.56,United States,Full-time,Director,13875.0,0,1.0
3690857635,Other,Account Director,"['strategy', 'education', 'teamwork', 'communication', 'leadership']",0,Bachelor's,3.56,Greater Milwaukee,Full-time,,,1,
3756110878,Other,Account Director,"['recruitment', 'social media', 'communication', 'mentoring', 'account management']",8,Master's,3.56,"New York, United States",Full-time,Director,,1,
3693044709,Other,Account Director,"['communication', 'strategy', 'research', 'healthcare']",10,Bachelor's,3.56,"Pittsburgh, PA",Full-time,,,1,
3693044744,Sales & Retail,Account Executive,"['communication', 'salesforce', 'time management']",6,Bachelor's,7.02,New York City Metropolitan Area,Full-time,Mid-Senior level,6666.67,0,1.0
3757435857,Sales & Retail,Account Executive,"['c', 'leadership', 'communication', 'presentation skills', 'mentoring']",2,Bachelor's,7.02,"St Louis, MO",Full-time,Associate,5000.0,0,
3757700529,Sales & Retail,Account Executive,"['communication', 'healthcare', 'operations']",5,Bachelor's,7.02,"Denver, CO",Full-time,Mid-Senior level,5841.88,0,
3757723098,Sales & Retail,Account Executive,"['b2b sales', 'lead generation', 'communication', 'crm', 'negotiation']",5,Bachelor's,7.02,"Worcester, MA",Full-time,Mid-Senior level,6250.0,0,
3693581995,Sales & Retail,Account Executive,"['communication', 'react']",5,Bachelor's,7.02,"Chesterfield, MO",Full-time,Mid-Senior level,5416.67,0,
3699073515,Sales & Retail,Account Executive,"['customer service', 'crm', 'project management', 'presentation skills', 'negotiation']",2,Master's,7.02,"Florida, United States",Full-time,,7500.0,0,1.0
3699081957,Sales & Retail,Account Executive,"['mentoring', 'salesforce', 'education', 'customer service']",5,Bachelor's,7.02,"Woodside, NY",Full-time,Mid-Senior level,,1,
3757493605,Sales & Retail,Account Executive,"['cold calling', 'salesforce', 'crm', 'social media', 'presentation skills', 'negotiation']",2,Bachelor's,7.02,"Springfield, IL",Full-time,Associate,,1,
3693049907,Sales & Retail,Account Executive,"['b2b sales', 'logistics', 'operations']",2,Bachelor's,7.02,"Harrisburg, PA",Full-time,Associate,,1,
3757494017,Sales & Retail,Account Executive,"['communication', 'salesforce', 'healthcare', 'compliance']",5,Bachelor's,7.02,United States,Full-time,Mid-Senior level,7465.04,0,1.0
3757747997,Sales & Retail,Account Executive,"['education', 'salesforce', 'healthcare', 'communication', 'power bi', 'social media']",3,Bachelor's,7.02,United States,Full-time,Mid-Senior level,,1,1.0
3701326802,Sales & Retail,Account Executive,"['communication', 'cold calling', 'salesforce']",1,Bachelor's,7.02,United States,Full-time,Entry level,3125.0,0,1.0
3693069199,Sales & Retail,Account Executive,"['b2b sales', 'lead generation', 'communication', 'crm', 'negotiation']",0,Bachelor's,7.02,"Las Vegas, NV",Full-time,,,1,
3755582863,Sales & Retail,Account Executive,"['adaptability', 'salesforce', 'communication', 'hospitality', 'presentation skills']",0,Bachelor's,7.02,"New York, NY",Full-time,,,1,
3755596597,Sales & Retail,Account Executive,"['leadership', 'onboarding', 'c']",5,Bachelor's,7.02,United States,Full-time,Mid-Senior level,7291.67,0,1.0
3755583431,Sales & Retail,Account Executive,"['salesforce', 'react', 'crm', 'communication', 'powerpoint', 'excel']",5,Bachelor's,7.02,"Portland, OR",Contract,Mid-Senior level,,1,1.0
3693044636,Sales & Retail,Account Executive,"['b2b sales', 'sales strategy', 'lead generation', 'communication', 'crm', 'negotiation']",1,Bachelor's,7.02,"South Bend, IN",Full-time,Entry level,,1,
3756112311,Sales & Retail,Account Executive,"['communication', 'presentation skills', 'education']",0,Bachelor's,7.02,United States,Full-time,,,1,1.0
3755597011,Sales & Retail,Account Executive,"['strategy', 'risk management', 'customer service', 'c', 'communication', 'powerpoint', 'excel', 'presentation skills', 'account management']",7,Bachelor's,7.02,"Morristown, NJ",Full-time,Mid-Senior level,,1,1.0
3755597173,Sales & Retail,Account Executive,"['b2b sales', 'lead generation', 'onboarding', 'communication', 'crm', 'negotiation']",5,Bachelor's,7.02,"Brooklyn, NY",Full-time,Mid-Senior level,6666.67,0,1.0
3755595799,Sales & Retail,Account Executive,"['leadership', 'onboarding', 'c']",5,Bachelor's,7.02,"San Diego, CA",Full-time,Mid-Senior level,7291.67,0,1.0
3755581703,Sales & Retail,Account Executive,"['salesforce', 'react', 'crm', 'communication', 'powerpoint', 'excel']",5,Bachelor's,7.02,"Salt Lake City, UT",Contract,Mid-Senior level,,1,1.0
3694112271,Sales & Retail,Account Executive,"['crm', 'salesforce', 'adaptability', 'hris']",5,Bachelor's,7.02,"New York, United States",Temporary,Mid-Senior level,8333.33,0,
3756780468,Sales & Retail,Account Executive,"['strategy', 'risk management', 'salesforce', 'leadership', 'problem solving', 'presentation skills']",5,Bachelor's,7.02,"Bloomfield Hills, MI",Full-time,,,1,
3755598380,Sales & Retail,Account Executive,"['leadership', 'onboarding', 'c']",5,Bachelor's,7.02,"Boston, MA",Full-time,Mid-Senior level,7291.67,0,1.0
3755595731,Sales & Retail,Account Executive,"['leadership', 'onboarding', 'c']",5,Bachelor's,7.02,"Lakewood, CO",Full-time,Mid-Senior level,7291.67,0,1.0
3757746752,Sales & Retail,Account Executive,"['b2b sales', 'lead generation', 'communication', 'crm', 'negotiation']",0,Bachelor's,7.02,"California, United States",Full-time,,,1,1.0
3694114719,Sales & Retail,Account Executive,"['b2b sales', 'lead generation', 'communication', 'crm', 'negotiation']",0,Bachelor's,7.02,United States,Full-time,,,1,1.0
3701308216,Sales & Retail,Account Executive,"['social media', 'research', 'education', 'communication']",2,Bachelor's,7.02,"Nevada, United States",Full-time,Associate,,1,1.0
3699092012,Sales & Retail,Account Executive,"['b2b sales', 'lead generation', 'communication', 'crm', 'negotiation']",0,Bachelor's,7.02,"Los Angeles, CA",Full-time,,,1,
3701324506,Sales & Retail,Account Executive,"['b2b sales', 'research', 'education', 'customer service', 'recruitment', 'lead generation', 'communication', 'time management']",2,Master's,7.02,Greater Orlando,Full-time,Associate,5000.0,0,
3749355218,Sales & Retail,Account Executive,"['education', 'operations', 'compliance']",2,Master's,7.02,"New York, NY",Full-time,Mid-Senior level,9972.96,0,
3756106808,Sales & Retail,Account Executive,"['attention to detail', 'cold calling', 'education', 'customer service', 'safety', 'leadership', 'communication', 'negotiation']",18,Bachelor's,7.02,"Tampa, FL",Full-time,Mid-Senior level,,1,
3749354259,Sales & Retail,Account Executive,"['education', 'operations', 'compliance', 'communication', 'analytical', 'negotiation']",4,Bachelor's,7.02,"New York, NY",Full-time,Associate,6778.96,0,
3693069700,Sales & Retail,Account Executive,"['strategy', 'research', 'c', 'leadership', 'communication', 'analytical', 'negotiation']",5,Bachelor's,7.02,"New York, United States",Full-time,Mid-Senior level,13958.33,0,
3693043698,Sales & Retail,Account Executive,"['ci/cd', 'kubernetes', 'communication', 'devops', 'mentoring']",5,Bachelor's,7.02,United States,Full-time,Mid-Senior level,10000.0,0,1.0
3757732960,Sales & Retail,Account Executive,"['strategy', 'education', 'farming', 'manufacturing', 'sales strategy', 'operations', 'customer service', 'logistics', 'agriculture', 'leadership', 'communication', 'r']",4,Bachelor's,7.02,"Chicago, IL",Full-time,Mid-Senior level,,1,
3756759828,Sales & Retail,Account Executive,"['strategy', 'education', 'customer service', 'teamwork', 'logistics', 'leadership', 'communication', 'time management', 'presentation skills', 'negotiation']",0,Bachelor's,7.02,"Boston, Massachusetts, United States",Full-time,,,1,
3693069599,Sales & Retail,Account Executive,"['b2b sales', 'c', 'operations', 'intellectual property', 'communication']",0,Bachelor's,7.02,United States,Full-time,,,1,1.0
3693584749,Sales & Retail,Account Executive,"['research', 'cold calling', 'safety', 'compliance', 'communication', 'leadership', 'problem solving', 'excel', 'mentoring']",1,Bachelor's,7.02,"Cleveland, OH",Full-time,Entry level,,1,
3694101906,Sales & Retail,Account Executive,"['communication', 'erp', 'education', 'healthcare']",1,Bachelor's,7.02,San Francisco Bay Area,Full-time,Entry level,6666.67,0,
3693038976,Sales & Retail,Account Executive,"['b2b sales', 'logistics', 'operations']",2,Bachelor's,7.02,"Knoxville, TN",Full-time,Associate,,1,
3756108359,Sales & Retail,Account Executive,"['strategy', 'education', 'customer service', 'time management', 'communication', 'negotiation']",1,Bachelor's,7.02,"Las Vegas, NV",Full-time,Mid-Senior level,,1,
3701315824,Sales & Retail,Account Executive,"['b2b sales', 'lead generation', 'communication', 'crm', 'negotiation']",2,Bachelor's,7.02,"Leesburg, VA",Full-time,,,1,
3694102422,Sales & Retail,Account Executive,"['strategy', 'education', 'c', 'healthcare', 'social media', 'leadership']",2,Bachelor's,7.02,"Washington, DC",Full-time,Mid-Senior level,5833.33,0,
3694102910,Sales & Retail,Account Executive,"['education', 'operations', 'erp', 'healthcare', 'analytical', 'account management']",2,Bachelor's,7.02,San Francisco Bay Area,Full-time,Entry level,6666.67,0,
3756108667,Sales & Retail,Account Executive,"['research', 'safety', 'presentation skills']",2,Bachelor's,7.02,"Lynnfield, MA",Full-time,Mid-Senior level,,1,
3693048909,Sales & Retail,Account Executive,"['b2b sales', 'logistics', 'operations']",2,Bachelor's,7.02,"Harrisburg, PA",Full-time,Mid-Senior level,,1,
3749351420,Sales & Retail,Account Executive,"['b2b sales', 'recruitment', 'lead generation', 'communication', 'crm', 'negotiation']",2,High School / Diploma,7.02,San Francisco Bay Area,Full-time,Mid-Senior level,,1,
3757463665,Sales & Retail,Account Executive,"['education', 'crm', 'communication', 'negotiation', 'account management']",5,Bachelor's,7.02,"Jacksonville, FL",Full-time,Mid-Senior level,,1,
3697386370,Sales & Retail,Account Executive,"['education', 'risk management', 'c', 'advocacy', 'compliance', 'communication', 'account management']",10,Bachelor's,7.02,"Englewood Cliffs, NJ",Full-time,,,1,
3701317462,Sales & Retail,Account Executive,"['strategy', 'research', 'customer service', 'c', 'communication', 'analytical', 'account management']",5,Bachelor's,7.02,"Washington, DC",Full-time,Mid-Senior level,7500.0,0,
3757750866,Sales & Retail,Account Executive,"['education', 'salesforce', 'healthcare', 'communication', 'power bi', 'social media', 'excel']",3,Bachelor's,7.02,United States,Full-time,Mid-Senior level,,1,1.0
3697388367,Sales & Retail,Account Executive,"['crm', 'presentation skills', 'communication', 'procurement']",5,Bachelor's,7.02,"Virginia, United States",Full-time,Mid-Senior level,15891.67,0,1.0
3756106776,Sales & Retail,Account Executive,"['crm', 'strategy']",5,Bachelor's,7.02,United States,Full-time,Mid-Senior level,,1,1.0
3757702556,Sales & Retail,Account Executive,"['cold calling', 'education', 'logistics', 'communication', 'hubspot']",3,Bachelor's,7.02,"Portland, Oregon Metropolitan Area",Full-time,Associate,,1,
3756106743,Sales & Retail,Account Executive,"['b2b sales', 'education', 'lead generation', 'communication', 'crm', 'negotiation']",5,Bachelor's,7.02,"St Louis, MO",Full-time,Mid-Senior level,,1,
3756101997,Sales & Retail,Account Executive,"['cold calling', 'customer service', 'salesforce', 'communication', 'hubspot', 'account management']",0,Bachelor's,7.02,"San Jose, CA",Temporary,,3958.33,0,1.0
3694107327,Sales & Retail,Account Executive,"['attention to detail', 'strategy', 'data entry', 'customer service', 'operations', 'compliance', 'communication']",10,Bachelor's,7.02,"Atlanta, GA",Full-time,Mid-Senior level,,1,
3756103894,Sales & Retail,Account Executive,"['spark', 'lead generation', 'operations']",0,Bachelor's,7.02,"Minneapolis, MN",Full-time,,8743.75,0,
3757466992,Sales & Retail,Account Executive,"['cold calling', 'education', 'salesforce', 'compliance', 'communication']",2,Bachelor's,7.02,United States,Full-time,Associate,3333.33,0,1.0
3757491996,Sales & Retail,Account Executive,"['cold calling', 'education', 'crm', 'communication', 'problem solving']",0,Master's,7.02,United States,Full-time,,,1,1.0
3755552915,Sales & Retail,Account Executive,"['education', 'robotics', 'lead generation', 'salesforce', 'communication', 'onboarding', 'negotiation']",5,Bachelor's,7.02,"Washington, United States",Part-time,Mid-Senior level,2500.0,0,1.0
3755552919,Sales & Retail,Account Executive,"['r', 'education', 'manufacturing', 'hvac']",5,Bachelor's,7.02,"Charlotte, NC",Full-time,Associate,,1,1.0
3693049515,Sales & Retail,Account Executive,"['attention to detail', 'salesforce', 'accounting', 'communication', 'crm', 'powerpoint', 'excel', 'analytical']",0,Bachelor's,7.02,"Fort Mill, SC",Full-time,,,1,
3693047490,Sales & Retail,Account Executive,"['ppc', 'cold calling', 'seo', 'communication', 'crm', 'graphic design']",0,Bachelor's,7.02,"Grand Rapids, MI",Full-time,,,1,
3757705165,Sales & Retail,Account Executive,"['onboarding', 'customer service', 'healthcare', 'teamwork']",5,Bachelor's,7.02,"Herndon, VA",Full-time,Mid-Senior level,,1,
3749359013,Sales & Retail,Account Executive,"['communication', 'presentation skills']",5,Bachelor's,7.02,"Beaumont, TX",Full-time,Mid-Senior level,,1,
3701322496,Sales & Retail,Account Executive,"['education', 'communication', 'powerpoint', 'excel', 'strategic planning']",7,Bachelor's,7.02,"Kansas City, MO",Full-time,Mid-Senior level,,1,
3757491801,Sales & Retail,Account Executive,"['communication', 'time management']",2,Bachelor's,7.02,"Lexington, KY",Full-time,Mid-Senior level,,1,
3755554868,Sales & Retail,Account Executive,"['education', 'robotics', 'lead generation', 'salesforce', 'communication', 'onboarding', 'negotiation']",5,Bachelor's,7.02,United States,Part-time,Mid-Senior level,2500.0,0,1.0
3757701760,Sales & Retail,Account Executive,"['communication', 'negotiation', 'time management']",2,Bachelor's,7.02,New York City Metropolitan Area,Full-time,Entry level,5000.0,0,1.0
3701312703,Sales & Retail,Account Executive,"['lead generation', 'salesforce', 'communication', 'onboarding', 'negotiation']",5,Bachelor's,7.02,"New York, United States",Full-time,Mid-Senior level,5625.0,0,1.0
3694101278,Sales & Retail,Account Executive,"['time management', 'communication', 'attention to detail']",2,Bachelor's,7.02,United States,Full-time,,,1,1.0
3756179403,Sales & Retail,Account Executive,"['b2b sales', 'strategy', 'lead generation', 'communication', 'crm', 'negotiation']",0,Bachelor's,7.02,Greater Milwaukee,Full-time,,,1,1.0
3755557363,Sales & Retail,Account Executive,"['education', 'robotics', 'lead generation', 'salesforce', 'communication', 'onboarding', 'negotiation']",5,Bachelor's,7.02,"Phoenix, AZ",Part-time,Mid-Senior level,2500.0,0,1.0
3755557373,Sales & Retail,Account Executive,"['education', 'robotics', 'lead generation', 'salesforce', 'communication', 'onboarding', 'negotiation']",5,Bachelor's,7.02,"New York, United States",Part-time,Mid-Senior level,2500.0,0,1.0
3694101420,Sales & Retail,Account Executive,"['strategy', 'education', 'c', 'time management', 'media relations', 'social media', 'project management', 'critical thinking']",5,Bachelor's,7.02,"Washington, DC",Full-time,Mid-Senior level,4333.33,0,
3697383283,Sales & Retail,Account Executive,"['b2b sales', 'customer service', 'recruitment', 'salesforce', 'communication', 'social media', 'crm', 'powerpoint', 'leadership', 'excel', 'negotiation']",5,Bachelor's,7.02,"Los Angeles, CA",Full-time,Mid-Senior level,4166.67,0,
3701313753,Sales & Retail,Account Executive,"['customer service', 'communication', 'time management', 'analytical', 'negotiation']",5,Bachelor's,7.02,"Rocky Hill, CT",Full-time,Mid-Senior level,,1,
3756101203,Sales & Retail,Account Executive,"['leadership', 'onboarding', 'c']",5,Bachelor's,7.02,"Brooklyn, NY",Full-time,Mid-Senior level,7291.67,0,1.0
