candidate_id,industry_sector,candidate_skills,experience_years,education_level,skill_count
23155093,Human Resources,"['attention to detail', 'education', 'customer service', 'operations', 'compliance', 'leadership', 'communication', 'powerpoint', 'problem solving', 'project management', 'excel', 'analytical']",0,Bachelor's,12
11763983,Human Resources,"['payroll', 'education', 'recruitment', 'erp', 'compliance', 'communication', 'onboarding', 'powerpoint', 'excel', 'hris']",0,Master's,10
27490876,Human Resources,"['education', 'recruitment', 'healthcare', 'compliance', 'leadership', 'event planning', 'employee relations', 'performance management', 'hris']",0,Master's,9
32977530,Human Resources,"['research', 'data entry', 'customer service', 'education', 'operations', 'accounts receivable', 'erp', 'sap', 'multitasking', 'auditing', 'communication', 'onboarding', 'accounting', 'compliance', 'excel', 'accounts payable']",0,Bachelor's,16
93002334,Human Resources,"['education', 'customer service', 'risk management', 'logistics', 'sap', 'communication', 'excel', 'employee relations']",0,Master's,8
24184357,Human Resources,"['leadership', 'cpr', 'education', 'recruitment', 'accounting', 'analytical', 'hris', 'payroll', 'procurement', 'compliance', 'communication', 'powerpoint', 'problem solving', 'statistics', 'excel', 'employee relations', 'performance management', 'strategy', 'cold calling']",0,High School / Diploma,19
73077810,Human Resources,"['payroll', 'customer service', 'recruitment', 'logistics', 'conflict resolution', 'education', 'compliance', 'onboarding', 'dispute resolution', 'employee relations', 'mentoring', 'performance management', 'hris']",0,Master's,13
13879043,Human Resources,"['research', 'payroll', 'education', 'recruitment', 'conflict resolution', 'sap', 'compliance', 'leadership', 'social media', 'employee relations', 'performance management']",7,Master's,11
30163002,Human Resources,"['attention to detail', 'payroll', 'customer service', 'education', 'onboarding', 'powerpoint', 'excel', 'employee relations']",0,Bachelor's,8
18827609,Human Resources,"['strategy', 'education', 'recruitment', 'teamwork', 'public speaking', 'onboarding', 'social media', 'workday', 'project management', 'communication', 'leadership', 'excel', 'compliance', 'event planning', 'employee relations', 'talent acquisition', 'hris']",3,Master's,17
25676643,Human Resources,"['research', 'education', 'customer service', 'recruitment', 'teamwork', 'technical support', 'compliance', 'onboarding', 'leadership', 'social media', 'project management', 'powerpoint', 'excel', 'analytical', 'performance management']",2,Master's,15
12786012,Human Resources,"['research', 'payroll', 'education', 'recruitment', 'conflict resolution', 'safety', 'compliance', 'onboarding', 'communication', 'excel', 'employee relations', 'performance management', 'hris']",0,Master's,13
87968870,Human Resources,"['vendor management', 'education', 'payroll', 'recruitment', 'safety', 'compliance', 'employee relations', 'performance management', 'hris']",11,Master's,9
46258701,Human Resources,"['cpr', 'education', 'sap', 'compliance', 'excel']",0,Master's,5
14225422,Human Resources,"['research', 'payroll', 'manufacturing', 'recruitment', 'education', 'operations', 'safety', 'compliance', 'powerpoint', 'excel', 'employee relations', 'hris']",0,Master's,12
29297973,Human Resources,"['cpr', 'payroll', 'manufacturing', 'recruitment', 'customer service', 'food safety', 'education', 'safety', 'communication', 'dispute resolution', 'employee relations', 'special education']",3,Master's,12
18334783,Human Resources,"['payroll', 'customer service', 'education', 'operations', 'leadership', 'communication', 'project management', 'employee relations']",20,High School / Diploma,8
19717385,Human Resources,"['research', 'education', 'data entry', 'rehabilitation', 'time management', 'communication', 'powerpoint', 'excel']",0,Master's,8
49937469,Human Resources,"['attention to detail', 'research', 'payroll', 'customer service', 'education', 'operations', 'public speaking', 'leadership', 'compliance', 'communication', 'excel', 'employee relations', 'critical thinking']",0,Bachelor's,13
18316239,Human Resources,"['education', 'recruitment', 'teamwork', 'conflict resolution', 'operations', 'safety', 'healthcare', 'compliance', 'onboarding', 'project management', 'powerpoint', 'dispute resolution', 'excel', 'employee relations', 'performance management', 'hris']",9,Master's,16
17855844,Human Resources,"['education', 'recruitment', 'oracle', 'operations', 'hris', 'sap', 'compliance', 'leadership', 'illustrator', 'powerpoint', 'excel', 'employee relations', 'performance management', 'strategic planning']",0,Master's,14
57667857,Human Resources,"['strategy', 'research', 'payroll', 'education', 'recruitment', 'operations', 'safety', 'compliance', 'social media', 'employee relations', 'performance management']",25,Bachelor's,11
17422560,Human Resources,"['payroll', 'data entry', 'customer service', 'education', 'compliance', 'communication', 'social media', 'powerpoint', 'excel', 'employee relations']",0,Bachelor's,10
32947778,Human Resources,"['payroll', 'education', 'recruitment', 'logistics', 'operations', 'compliance', 'leadership', 'project management', 'event planning', 'employee relations', 'hris']",0,Master's,11
23914451,Human Resources,"['education', 'customer service', 'operations', 'technical support', 'safety', 'strategic planning', 'compliance', 'time management', 'leadership', 'project management', 'problem solving', 'employee relations', 'performance management', 'hris']",0,Bachelor's,14
21265194,Human Resources,"['strategy', 'education', 'leadership', 'project management', 'employee relations', 'performance management']",0,Master's,6
51769822,Human Resources,"['payroll', 'customer service', 'education', 'accounting', 'time management', 'communication', 'problem solving', 'excel', 'employee relations', 'analytical']",30,High School / Diploma,10
19616406,Human Resources,"['payroll', 'education', 'safety', 'compliance', 'onboarding', 'communication', 'event planning', 'employee relations', 'accounts payable', 'hris']",1,Bachelor's,10
41523474,Human Resources,"['research', 'education', 'c', 'recruitment', 'operations', 'communication', 'excel']",0,Master's,7
59962788,Human Resources,"['vendor management', 'strategy', 'education', 'manufacturing', 'recruitment', 'payroll', 'logistics', 'c', 'safety', 'sap', 'healthcare', 'teaching', 'compliance', 'communication', 'onboarding', 'java', 'project management', 'sql']",1,Master's,18
86184722,Human Resources,"['attention to detail', 'research', 'payroll', 'data entry', 'oracle', 'customer service', 'education', 'conflict resolution', 'recruitment', 'safety', 'sap', 'compliance', 'auditing', 'communication', 'critical thinking', 'employee relations', 'performance management', 'hris']",0,Master's,18
28419173,Human Resources,"['research', 'education', 'recruitment', 'accounting', 'social media', 'onboarding', 'communication', 'powerpoint', 'problem solving', 'excel', 'troubleshooting', 'analytical', 'critical thinking']",0,High School / Diploma,13
18155310,Human Resources,"['strategy', 'payroll', 'customer service', 'education', 'procurement', 'conflict resolution', 'safety', 'compliance', 'accounting', 'communication', 'powerpoint', 'business intelligence', 'excel', 'troubleshooting', 'performance management']",0,Master's,15
26780935,Human Resources,"['payroll', 'education', 'c', 'auditing', 'communication', 'compliance', 'leadership', 'project management', 'problem solving', 'troubleshooting', 'hris']",0,Bachelor's,11
34554248,Human Resources,"['research', 'payroll', 'education', 'recruitment', 'budgeting', 'operations', 'conflict resolution', 'safety', 'accounting', 'leadership', 'social media', 'onboarding', 'powerpoint', 'excel', 'employee relations', 'hris']",3,Master's,16
26202430,Human Resources,"['vba', 'research', 'payroll', 'education', 'erp', 'sap', 'auditing', 'communication', 'compliance', 'project management', 'problem solving', 'excel', 'troubleshooting', 'analytical', 'hris']",0,Master's,15
19867922,Human Resources,"['attention to detail', 'research', 'payroll', 'education', 'compliance', 'onboarding', 'leadership', 'employee relations', 'hris']",0,Master's,9
91930382,Human Resources,"['education', 'c', 'recruitment', 'employee relations', 'talent acquisition', 'negotiation']",0,Master's,6
30646367,Human Resources,"['payroll', 'manufacturing', 'education', 'conflict resolution', 'safety', 'sap', 'compliance', 'powerpoint', 'excel', 'hris']",15,High School / Diploma,10
39650734,Human Resources,"['strategy', 'payroll', 'customer service', 'recruitment', 'teamwork', 'operations', 'education', 'adaptability', 'safety', 'accounting', 'communication', 'powerpoint', 'excel', 'employee relations', 'performance management', 'hris']",5,Master's,16
72231872,Human Resources,"['payroll', 'customer service', 'recruitment', 'budgeting', 'operations', 'education', 'accounts receivable', 'tableau', 'communication', 'onboarding', 'leadership', 'powerpoint', 'compliance', 'excel', 'taxation', 'employee relations', 'accounts payable', 'hris']",9,Master's,18
13520837,Human Resources,"['attention to detail', 'payroll', 'customer service', 'c', 'manufacturing', 'recruitment', 'data entry', 'education', 'time management', 'communication', 'leadership', 'onboarding', 'problem solving', 'employee relations', 'talent acquisition', 'hris']",5,Bachelor's,16
18422164,Human Resources,"['research', 'payroll', 'customer service', 'recruitment', 'education', 'operations', 'communication', 'workday', 'employee relations']",0,Master's,9
30862904,Human Resources,"['vendor management', 'research', 'education', 'payroll', 'recruitment', 'operations', 'compliance', 'leadership', 'onboarding', 'communication', 'project management', 'employee relations', 'talent acquisition', 'performance management', 'negotiation']",10,Master's,15
52979663,Human Resources,"['strategy', 'payroll', 'manufacturing', 'education', 'operations', 'safety', 'auditing', 'leadership', 'problem solving', 'performance management', 'negotiation', 'hris']",3,Bachelor's,12
28828844,Human Resources,"['payroll', 'customer service', 'education', 'conflict resolution', 'safety', 'compliance', 'communication', 'leadership', 'powerpoint', 'excel', 'employee relations', 'talent acquisition', 'performance management']",0,Bachelor's,13
21830565,Human Resources,"['payroll', 'education', 'oracle', 'operations', 'conflict resolution', 'pharmacology', 'compliance', 'leadership', 'litigation', 'employee relations', 'performance management']",15,High School / Diploma,11
27523575,Human Resources,"['attention to detail', 'education', 'customer service', 'communication', 'leadership', 'time management', 'problem solving', 'employee relations', 'analytical', 'critical thinking']",6,Bachelor's,10
39081840,Human Resources,"['payroll', 'education', 'c', 'teamwork', 'compliance', 'onboarding', 'communication', 'leadership', 'project management', 'powerpoint', 'excel', 'employee relations', 'presentation skills', 'performance management', 'hris']",0,Bachelor's,15
20925036,Human Resources,"['strategy', 'payroll', 'education', 'recruitment', 'manufacturing', 'procurement', 'sap', 'social media', 'leadership', 'communication', 'powerpoint', 'excel', 'talent acquisition']",0,Master's,13
15576950,Human Resources,"['cpr', 'data entry', 'customer service', 'recruitment', 'education', 'sap', 'compliance', 'onboarding', 'communication']",0,High School / Diploma,9
29564653,Human Resources,"['education', 'photoshop', 'sap', 'onboarding', 'illustrator', 'communication', 'excel']",0,Master's,7
14886205,Human Resources,"['research', 'payroll', 'education', 'leadership', 'onboarding', 'powerpoint', 'statistics', 'excel', 'employee relations', 'talent acquisition', 'performance management']",0,High School / Diploma,11
17412079,Human Resources,"['research', 'payroll', 'education', 'recruitment', 'conflict resolution', 'sap', 'compliance', 'leadership', 'social media', 'powerpoint', 'excel', 'employee relations', 'performance management', 'hris']",7,Master's,14
16861758,Human Resources,"['medical terminology', 'data entry', 'education', 'customer service', 'payroll', 'healthcare', 'compliance', 'nursing']",0,Bachelor's,8
93112113,Human Resources,"['research', 'payroll', 'education', 'recruitment', 'compliance', 'communication', 'employee relations', 'performance management', 'hris']",0,High School / Diploma,9
15041689,Human Resources,"['mathematics', 'payroll', 'education', 'recruitment', 'conflict resolution', 'safety', 'compliance', 'onboarding', 'hipaa', 'employee relations', 'performance management', 'hris']",15,High School / Diploma,12
80162314,Human Resources,"['strategy', 'research', 'payroll', 'education', 'recruitment', 'communication', 'project management', 'troubleshooting', 'employee relations', 'performance management']",3,Master's,10
20993320,Human Resources,"['attention to detail', 'payroll', 'education', 'c', 'customer service', 'operations', 'leadership', 'communication', 'r', 'problem solving', 'hris']",0,Master's,11
14640322,Human Resources,"['vendor management', 'payroll', 'education', 'recruitment', 'onboarding', 'communication', 'excel', 'talent acquisition', 'mentoring']",0,Master's,9
26289308,Human Resources,"['strategy', 'payroll', 'education', 'recruitment', 'safety', 'compliance', 'communication', 'employee relations', 'performance management']",0,Master's,9
23408537,Human Resources,"['attention to detail', 'nursing', 'education', 'recruitment', 'budgeting', 'sap', 'accounting', 'auditing', 'project management', 'analytical', 'technical support', 'hris', 'payroll', 'c', 'compliance', 'time management', 'powerpoint', 'excel', 'accounts payable', 'performance management']",0,Master's,20
28808263,Human Resources,"['attention to detail', 'payroll', 'customer service', 'education', 'accounting', 'communication', 'leadership', 'time management', 'public speaking', 'problem solving', 'excel', 'analytical', 'accounts payable']",0,Bachelor's,13
18084150,Human Resources,"['payroll', 'education', 'recruitment', 'oracle', 'conflict resolution', 'teamwork', 'safety', 'compliance', 'leadership', 'powerpoint', 'emr', 'excel', 'employee relations', 'analytical', 'hris']",0,Master's,15
26671167,Human Resources,"['education', 'customer service', 'operations', 'safety', 'bls', 'accounting', 'communication', 'inventory management', 'hospitality', 'public relations', 'event planning', 'nursing']",0,High School / Diploma,12
44476983,Human Resources,"['attention to detail', 'payroll', 'education', 'recruitment', 'oracle', 'operations', 'compliance', 'leadership', 'communication', 'time management', 'powerpoint', 'accounting', 'excel', 'employee relations', 'talent acquisition', 'performance management', 'hris']",0,Bachelor's,17
16877897,Human Resources,"['manufacturing', 'education', 'recruitment', 'html', 'safety', 'sap', 'r', 'analytical', 'payroll', 'compliance', 'time management', 'communication', 'css', 'problem solving', 'excel', 'performance management', 'operations', 'javascript', 'sql']",4,Master's,19
29091445,Human Resources,"['payroll', 'education', 'recruitment', 'operations', 'sap', 'powerpoint', 'excel', 'taxation', 'employee relations']",0,Master's,9
25724495,Human Resources,"['payroll', 'education', 'recruitment', 'operations', 'onboarding', 'communication', 'leadership', 'powerpoint', 'excel', 'employee relations', 'performance management', 'negotiation', 'hris']",2,Master's,13
24508725,Human Resources,"['attention to detail', 'education', 'payroll', 'recruitment', 'operations', 'hris', 'compliance', 'communication', 'time management', 'leadership', 'powerpoint', 'excel', 'employee relations', 'presentation skills', 'strategic planning']",6,Master's,15
11698189,Human Resources,"['research', 'payroll', 'customer service', 'education', 'operations', 'conflict resolution', 'accounting', 'leadership', 'critical thinking', 'powerpoint', 'hospitality', 'excel', 'event planning', 'employee relations', 'performance management']",0,Master's,15
27165830,Human Resources,"['strategy', 'payroll', 'customer service', 'education', 'teamwork', 'operations', 'sales strategy', 'compliance', 'communication', 'leadership', 'excel', 'employee relations']",0,Bachelor's,12
47470864,Human Resources,"['research', 'payroll', 'customer service', 'education', 'operations', 'compliance', 'time management', 'communication', 'troubleshooting', 'employee relations']",1,Bachelor's,10
34740556,Human Resources,"['education', 'recruitment', 'teamwork', 'conflict resolution', 'safety', 'compliance', 'onboarding', 'powerpoint', 'excel', 'employee relations']",8,Master's,10
18557164,Human Resources,"['attention to detail', 'education', 'customer service', 'operations', 'safety', 'compliance', 'leadership', 'communication', 'project management', 'powerpoint', 'nursing', 'excel', 'talent acquisition', 'analytical', 'performance management', 'six sigma']",0,Bachelor's,16
19179079,Human Resources,"['customer service', 'manufacturing', 'leadership', 'restaurant management', 'education', 'recruitment', 'accounting', 'crm', 'onboarding', 'hris', 'payroll', 'compliance', 'communication', 'powerpoint', 'statistics', 'excel', 'strategy', 'operations', 'talent acquisition', 'negotiation']",6,Master's,20
13376919,Human Resources,"['vendor management', 'education', 'manufacturing', 'oracle', 'recruitment', 'operations', 'powerpoint', 'excel', 'talent acquisition', 'performance management']",0,Master's,10
26048718,Human Resources,"['customer service', 'healthcare', 'leadership', 'nursing', 'critical thinking', 'cpr', 'education', 'risk management', 'recruitment', 'safety', 'project management', 'analytical', 'hris', 'research', 'logistics', 'conflict resolution', 'compliance', 'communication', 'powerpoint', 'statistics', 'excel', 'hipaa', 'employee relations', 'strategy', 'operations', 'patient care', 'talent acquisition']",0,PhD,27
17150707,Human Resources,"['research', 'payroll', 'education', 'sap', 'compliance', 'project management', 'employee relations', 'technical support', 'hris']",0,High School / Diploma,9
18297650,Human Resources,"['unix', 'research', 'cold calling', 'payroll', 'recruitment', 'c', 'oracle', 'logistics', 'education', 'teaching', 'sap', 'accounting', 'communication', 'java', 'linux', 'talent acquisition', 'mentoring', 'sql']",0,Master's,18
23510685,Human Resources,"['strategy', 'education', 'manufacturing', 'recruitment', 'sap', 'compliance', 'leadership', 'r', 'project management', 'excel', 'mentoring', 'performance management', 'hris']",0,Master's,13
39970711,Human Resources,"['education', 'risk management', 'recruitment', 'advocacy', 'operations', 'hris', 'safety', 'healthcare', 'communication', 'project management', 'dispute resolution', 'employee relations', 'mentoring', 'performance management', 'strategic planning']",0,Master's,15
20806155,Human Resources,"['research', 'education', 'recruitment', 'operations', 'quality control', 'sap', 'compliance', 'communication', 'project management', 'business intelligence', 'excel', 'troubleshooting', 'analytical']",0,Master's,13
28640735,Human Resources,"['research', 'payroll', 'education', 'recruitment', 'teamwork', 'operations', 'accounts receivable', 'healthcare', 'leadership', 'accounts payable', 'project management', 'employee relations', 'talent acquisition', 'mentoring', 'performance management']",5,High School / Diploma,15
15575117,Human Resources,"['data entry', 'customer service', 'excel', 'operations']",0,Master's,4
27496514,Human Resources,"['research', 'payroll', 'customer service', 'education', 'sap', 'accounting', 'communication', 'compliance', 'excel']",0,Master's,9
14256329,Human Resources,"['payroll', 'customer service', 'recruitment', 'education', 'communication', 'leadership', 'excel', 'presentation skills']",0,Bachelor's,8
19336728,Human Resources,"['education', 'customer service', 'conflict resolution', 'communication', 'leadership', 'powerpoint', 'excel']",0,Bachelor's,7
10694288,Human Resources,"['research', 'payroll', 'education', 'leadership', 'hris']",13,Bachelor's,5
28175164,Human Resources,"['payroll', 'manufacturing', 'recruitment', 'education', 'conflict resolution', 'operations', 'sap', 'compliance', 'leadership', 'project management', 'performance management', 'six sigma', 'hris']",5,Master's,13
10399912,Human Resources,"['research', 'data entry', 'customer service', 'education', 'teaching', 'auditing', 'inventory management', 'powerpoint', 'excel']",2,Master's,9
20417897,Human Resources,"['research', 'payroll', 'education', 'oracle', 'construction management', 'quality control', 'safety', 'sap', 'powerpoint', 'excel', 'event planning', 'six sigma']",0,Master's,12
18731098,Human Resources,"['customer service', 'critical thinking', 'education', 'safety', 'sap', 'accounting', 'project management', 'hris', 'payroll', 'logistics', 'compliance', 'time management', 'communication', 'powerpoint', 'excel', 'employee relations', 'strategy', 'data entry', 'operations']",0,Bachelor's,19
30563572,Human Resources,"['strategy', 'education', 'manufacturing', 'oracle', 'recruitment', 'compliance', 'leadership', 'communication', 'workday', 'powerpoint', 'excel', 'employee relations', 'talent acquisition', 'mentoring', 'performance management', 'hris']",0,Master's,16
24402267,Human Resources,"['payroll', 'education', 'recruitment', 'compliance', 'excel', 'employee relations', 'performance management', 'hris']",5,Master's,8
32308556,Human Resources,"['strategy', 'education', 'manufacturing', 'risk management', 'budgeting', 'operations', 'conflict resolution', 'logistics', 'healthcare', 'accounting', 'leadership', 'communication', 'project management', 'employee relations', 'performance management']",0,PhD,15
27847081,Human Resources,"['attention to detail', 'payroll', 'customer service', 'recruitment', 'education', 'operations', 'sap', 'compliance', 'communication', 'time management', 'powerpoint', 'project management', 'problem solving', 'excel', 'employee relations', 'performance management']",10,Master's,16
25150191,Human Resources,"['education', 'customer service', 'payroll', 'data entry', 'operations', 'recruitment', 'compliance', 'communication', 'leadership', 'time management']",0,Master's,10
37058472,"Design, Media & Creative","['education', 'manufacturing', 'logistics', 'procurement', 'quality control', 'photoshop', 'compliance', 'communication', 'r', 'autocad']",15,Bachelor's,10
68240723,"Design, Media & Creative","['attention to detail', 'research', 'education', 'adaptability', 'oracle', 'time management', 'communication', 'leadership', 'illustrator']",0,Bachelor's,9
76010167,"Design, Media & Creative","['education', 'teamwork', 'time management', 'communication', 'leadership', 'powerpoint', 'excel']",0,Master's,7
19164410,"Design, Media & Creative","['research', 'education', 'photoshop', 'time management', 'illustrator', 'communication', 'excel']",0,High School / Diploma,7
29147100,"Design, Media & Creative","['education', 'html', 'after effects', 'photoshop', 'leadership', 'illustrator', 'powerpoint', 'troubleshooting', 'graphic design']",0,Bachelor's,9
25061645,"Design, Media & Creative","['education', 'html', 'typography', 'photoshop', 'illustrator', 'css', 'powerpoint', 'graphic design']",0,Bachelor's,8
11919526,"Design, Media & Creative","['leadership', 'unix', 'education', 'html', 'instructional design', 'safety', 'sap', 'r', 'technical support', 'research', 'c', 'oracle', 'teaching', 'compliance', 'powerpoint', 'excel', 'javascript', 'elearning', 'sql']",0,Master's,19
81011612,"Design, Media & Creative","['mathematics', 'payroll', 'customer service', 'html', 'education', 'operations', 'photoshop', 'inventory management', 'illustrator', 'animation', 'sql']",0,Bachelor's,11
11722421,"Design, Media & Creative","['research', 'education', 'manufacturing', 'photoshop', 'illustrator']",0,Master's,5
13774329,"Design, Media & Creative","['education', 'customer service', 'manufacturing', 'budgeting', 'operations', 'quality control', 'safety', 'inventory management', 'r', 'project management']",0,Bachelor's,10
35990852,"Design, Media & Creative","['education', 'c', 'html', 'mentoring', 'mysql', 'photoshop', 'accounting', 'compliance', 'scrum', 'auditing', 'javascript', 'animation', 'graphic design', 'php', 'sql']",0,High School / Diploma,15
36269672,"Design, Media & Creative","['customer service', 'operations', 'communication', 'leadership', 'r', 'problem solving']",0,Bachelor's,6
90066849,"Design, Media & Creative","['education', 'patient care', 'communication', 'powerpoint', 'emr', 'curriculum development', 'nursing']",28,Master's,7
27529455,"Design, Media & Creative","['education', 'customer service', 'data entry', 'instructional design', 'operations', 'mentoring', 'supply chain', 'photoshop', 'compliance', 'leadership', 'powerpoint', 'project management', 'excel', 'tutoring', 'curriculum development', 'elearning']",0,PhD,16
85101052,"Design, Media & Creative","['education', 'oracle', 'logistics', 'operations', 'c', 'mysql', 'java', 'project management', 'wealth management', 'sql']",5,High School / Diploma,10
22567495,"Design, Media & Creative","['research', 'education', 'payroll', 'instructional design', 'operations', 'accounts receivable', 'teaching', 'safety', 'accounting', 'accounts payable']",0,Master's,10
10751444,"Design, Media & Creative","['research', 'solidworks', 'manufacturing', 'c', 'education', 'safety', '3d modeling', 'autocad', 'statistics', 'problem solving', 'python', 'mechanical design', 'linux', 'matlab', 'thermodynamics']",2,Master's,15
11807040,"Design, Media & Creative","['cpr', 'research', 'education', 'customer service', 'acls', 'patient care', 'quality control', 'healthcare', 'compliance', 'communication', 'hipaa', 'nursing', 'special education']",0,Bachelor's,13
12415691,"Design, Media & Creative","['erp', 'leadership', 'unix', 'education', 'java', 'project management', 'linux', 'bash', 'mathematics', 'research', 'oracle', 'c', 'python', 'css', 'problem solving', 'shell', 'php', 'mysql', 'business intelligence', 'perl', 'sql']",3,Bachelor's,21
38565119,"Design, Media & Creative","['strategy', 'education', 'procurement', 'salesforce', 'communication', 'leadership', 'autocad']",0,Master's,7
21705160,"Design, Media & Creative",['education'],0,Bachelor's,1
26496059,"Design, Media & Creative","['manufacturing', 'education', 'html', 'quality control', 'safety', 'illustrator', 'graphic design', 'research', 'teamwork', 'logistics', 'photoshop', 'compliance', 'communication', 'css', 'excel', 'strategy', 'operations', 'typography', 'troubleshooting', 'premiere pro', 'negotiation']",3,High School / Diploma,21
29524570,"Design, Media & Creative","['research', 'education', 'oracle', 'c', 'html', 'clinical research', 'excel', 'sql']",0,Master's,8
15936656,"Design, Media & Creative",['education'],0,Bachelor's,1
13557622,"Design, Media & Creative","['photoshop', 'education', 'animation', 'maya']",0,Bachelor's,4
41506705,"Design, Media & Creative","['research', 'solidworks', 'manufacturing', 'education', 'lean manufacturing', 'safety', 'leadership', '3d modeling', 'communication', 'aviation', 'project management', 'revit', 'autocad', 'linux', 'analytical']",0,Bachelor's,15
32954522,"Design, Media & Creative","['cc', 'education', 'customer service']",13,Bachelor's,3
44185767,"Design, Media & Creative","['strategy', 'education', 'c', 'operations', 'erp', 'sap', 'communication', 'leadership', 'project management', 'troubleshooting', 'technical support']",0,Master's,11
14014749,"Design, Media & Creative","['cpr', 'education', 'customer service', 'c', 'operations', 'photoshop', 'safety', 'time management', 'illustrator', 'graphic design']",0,High School / Diploma,10
34349255,"Design, Media & Creative","['communication', 'education', 'procurement']",0,Bachelor's,3
16288901,"Design, Media & Creative","['communication', 'photoshop', 'education', 'autocad']",0,Bachelor's,4
25422388,"Design, Media & Creative","['education', 'html', 'typography', 'photoshop', 'compliance', 'leadership', 'illustrator', 'css', 'time management', 'social media', 'communication']",0,Bachelor's,11
22496394,"Design, Media & Creative","['education', 'payroll', 'customer service', 'leadership', 'problem solving', 'civil engineering', 'autocad', 'critical thinking', 'troubleshooting']",0,High School / Diploma,9
38744475,"Design, Media & Creative","['research', 'education', 'communication', 'social media', 'autocad', 'graphic design']",0,Bachelor's,6
67582956,"Design, Media & Creative","['education', 'c', 'rehabilitation', 'quality control', 'healthcare', 'communication', 'project management', 'powerpoint', 'civil engineering', 'excel', 'autocad', 'analytical']",16,Master's,12
26676567,"Design, Media & Creative","['education', 'customer service', 'html', 'recruitment', 'typography', 'photoshop', 'graphic design', 'leadership', 'illustrator', 'css', 'time management', 'problem solving', 'social media', 'communication', 'event planning', 'linux', 'color theory']",0,High School / Diploma,17
14724186,"Design, Media & Creative","['education', 'customer service', 'procurement', 'photoshop', 'communication', 'leadership']",0,High School / Diploma,6
10748989,"Design, Media & Creative","['attention to detail', 'education', 'leadership', 'autocad', 'project management', 'problem solving', 'civil engineering', 'mechanical design', 'color theory', 'analytical']",0,Bachelor's,10
26924514,"Design, Media & Creative","['vba', 'education', 'customer service', 'budgeting', 'instructional design', 'operations', 'conflict resolution', 'mentoring', 'public speaking', 'communication', 'leadership', 'compliance', 'project management', 'excel', 'curriculum development', 'analytical']",0,Master's,16
12674307,"Design, Media & Creative","['education', 'customer service', 'multitasking', 'communication', 'excel']",0,Bachelor's,5
23951429,"Design, Media & Creative","['education', 'data entry', 'customer service', 'compliance', 'communication', 'leadership', 'powerpoint', 'problem solving', 'project management', 'excel']",0,Master's,10
26046064,"Design, Media & Creative","['education', 'html', 'operations', 'typography', 'photoshop', 'social media', 'time management', 'css', 'illustrator', 'powerpoint', 'excel', 'graphic design']",14,Bachelor's,12
28326441,"Design, Media & Creative","['attention to detail', 'research', 'education', 'logistics', 'operations', 'photoshop', 'time management', 'illustrator', 'social media', 'project management', 'autocad', 'graphic design', 'revit']",0,Bachelor's,13
78149576,"Design, Media & Creative","['education', 'customer service']",0,High School / Diploma,2
